Entidad,Municipio, API_CODE
Aguascalientes ,Aguascalientes ,SE41187
Aguascalientes ,Asientos ,SE41188
Aguascalientes ,Calvillo ,SE41189
Aguascalientes ,Cosío ,SE41190
Aguascalientes ,El Llano ,SE41191
Aguascalientes ,Jesús María ,SE41192
Aguascalientes ,Pabellón de Arteaga ,SE41193
Aguascalientes ,Rincón de Romos ,SE41194
Aguascalientes ,San Francisco de los Romo ,SE41195
Aguascalientes ,San José de Gracia ,SE41196
Aguascalientes ,Tepezalá ,SE41197
Aguascalientes ,No identificado -Aguascalientes ,SE41198
Baja California ,Ensenada ,SE41199
Baja California ,Mexicali ,SE41200
Baja California ,Playas de Rosarito ,SE41201
Baja California ,Tecate ,SE41202
Baja California ,Tijuana ,SE41203
Baja California ,No identificado -Baja California ,SE41204
Baja California Sur ,Comondú ,SE41205
Baja California Sur ,La Paz ,SE41206
Baja California Sur ,Loreto ,SE41207
Baja California Sur ,Los Cabos ,SE41208
Baja California Sur ,Mulegé ,SE41209
Baja California Sur ,No identificado -Baja California Sur ,SE41210
Campeche ,Calakmul ,SE41211
Campeche ,Calkiní ,SE41212
Campeche ,Campeche ,SE41213
Campeche ,Candelaria ,SE41214
Campeche ,Carmen ,SE41215
Campeche ,Champotón ,SE41216
Campeche ,Escárcega ,SE41217
Campeche ,Hecelchakán ,SE41218
Campeche ,Hopelchén ,SE41219
Campeche ,Palizada ,SE41220
Campeche ,Tenabo ,SE41221
Campeche ,No identificado -Campeche ,SE41222
Coahuila ,Abasolo ,SE41223
Coahuila ,Acuña ,SE41224
Coahuila ,Allende ,SE41225
Coahuila ,Arteaga ,SE41226
Coahuila ,Candela ,SE41227
Coahuila ,Castaños ,SE41228
Coahuila ,Cuatro Ciénegas ,SE41229
Coahuila ,Escobedo ,SE41230
Coahuila ,Francisco I. Madero ,SE41231
Coahuila ,Frontera ,SE41232
Coahuila ,General Cepeda ,SE41233
Coahuila ,Guerrero ,SE41234
Coahuila ,Hidalgo ,SE41235
Coahuila ,Jiménez ,SE41236
Coahuila ,Juárez ,SE41237
Coahuila ,Lamadrid ,SE41238
Coahuila ,Matamoros ,SE41239
Coahuila ,Monclova ,SE41240
Coahuila ,Morelos ,SE41241
Coahuila ,Múzquiz ,SE41242
Coahuila ,Nadadores ,SE41243
Coahuila ,Nava ,SE41244
Coahuila ,Ocampo ,SE41245
Coahuila ,Parras ,SE41246
Coahuila ,Piedras Negras ,SE41247
Coahuila ,Progreso ,SE41248
Coahuila ,Ramos Arizpe ,SE41249
Coahuila ,Sabinas ,SE41250
Coahuila ,Sacramento ,SE41251
Coahuila ,Saltillo ,SE41252
Coahuila ,San Buenaventura ,SE41253
Coahuila ,San Juan de Sabinas ,SE41254
Coahuila ,San Pedro ,SE41255
Coahuila ,Sierra Mojada ,SE41256
Coahuila ,Torreón ,SE41257
Coahuila ,Viesca ,SE41258
Coahuila ,Villa Unión ,SE41259
Coahuila ,Zaragoza ,SE41260
Coahuila ,No identificado -Coahuila ,SE41261
Colima ,Armería ,SE41262
Colima ,Colima ,SE41263
Colima ,Comala ,SE41264
Colima ,Coquimatlán ,SE41265
Colima ,Cuauhtémoc ,SE41266
Colima ,Ixtlahuacán ,SE41267
Colima ,Manzanillo ,SE41268
Colima ,Minatitlán ,SE41269
Colima ,Tecomán ,SE41270
Colima ,Villa de Álvarez ,SE41271
Colima ,No identificado -Colima ,SE41272
